date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2024-10-23,PC,2024-10-23 14:18:39,2024-10-23 19:50:00,44.9536,13.556,444.9027,20000.0,-13971.11,-69.8444,687909.93,6.59
2024-10-23,PC,2024-10-23 15:17:48,2024-10-23 19:50:00,45.6773,13.556,437.8547,20000.0,-14066.62,-70.3222,673843.31,3.9
2024-10-23,PC,2024-10-23 15:29:02,2024-10-23 19:50:00,48.4812,13.556,412.531,20000.0,-14409.78,-72.0386,659433.53,2.39
2024-10-24,TC,2024-10-24 14:15:21,2024-10-24 19:50:00,67.737,32.9175,295.2596,20000.0,-10282.27,-51.404,649141.57,3.13
2024-10-24,MNPR,2024-10-24 15:22:38,2024-10-24 19:50:00,12.1705,30.9225,1643.3111,20000.0,30807.07,154.0764,679948.64,2.21
2024-10-29,JL,2024-10-29 14:04:01,2024-10-29 19:50:00,4.8773,7.5311,4100.6589,20000.0,10862.07,54.4129,690790.2,8.15
2024-11-04,SPPL,2024-11-04 14:41:50,2024-11-04 20:50:00,3.0552,9.1706,6546.2163,20000.0,40000.1,200.1642,730757.58,1.09
2024-11-05,DJT,2024-11-05 14:48:46,2024-11-05 20:50:00,38.9639,34.0846,513.2963,20000.0,-2507.08,-12.5226,728237.71,1.12
2024-11-05,ATGL,2024-11-05 15:40:05,2024-11-05 20:50:00,9.7838,8.7032,2044.2006,20000.0,-2219.16,-11.0447,726018.55,10.98
2024-11-18,MI,2024-11-18 15:45:25,2024-11-18 20:50:00,3.9195,2.1945,5102.6917,20000.0,-8827.66,-44.0107,717139.2,1.25
2024-11-18,MI,2024-11-18 15:51:21,2024-11-18 20:50:00,3.819,2.1945,5236.973,20000.0,-8533.65,-42.5373,708605.55,1.85
2024-11-20,SKK,2024-11-20 15:45:48,2024-11-20 20:50:00,89.445,44.7878,223.6011,20000.0,-9986.53,-49.9271,698617.9,1.83
